job_compared,job_selected,skills,difference,job_compared_name
0,3,Programming,3,Piplayers
23,32,Computers and Electronics,10,Piplayers
39,19,Engineering and Technology,22,Piplayers
25,25,Systems Analysis,3,Piplayers
10,0,Science,14,Piplayers
25,28,Systems Evaluation,8,Piplayers
55,15,Design,46,Piplayers
10,22,Operations Analysis,19,Piplayers
16,16,Technology Design,8,Piplayers
67,39,Mathematics,37,Piplayers
44,47,Judgment and Decision Making,13,Piplayers
28,25,Mathematics.1,14,Piplayers
38,47,Complex Problem Solving,21,Piplayers
31,28,Management of Personnel Resources,16,Piplayers
31,28,Persuasion,17,Piplayers
50,50,Critical Thinking,15,Piplayers
31,31,Negotiation,16,Piplayers
28,38,Learning Strategies,27,Piplayers
31,38,Instructing,25,Piplayers
38,62,English Language,43,Piplayers
34,38,Telecommunications,24,Piplayers
47,50,Speaking,24,Piplayers
53,47,Active Listening,28,Piplayers
35,44,Active Learning,32,Piplayers
25,44,Writing,43,Piplayers
50,41,Quality Control Analysis,34,Piplayers
47,50,Reading Comprehension,29,Piplayers
50,47,Coordination,30,Piplayers
28,44,Service Orientation,44,Piplayers
47,44,Social Perceptiveness,32,Piplayers
38,16,Installation,52,Piplayers
16,29,Communications and Media,44,Piplayers
47,50,Monitoring,35,Piplayers
19,25,Management of Financial Resources,39,Piplayers
22,25,Management of Material Resources,37,Piplayers
51,39,Administration and Management,47,Piplayers
4,1,Fine Arts,39,Piplayers
47,50,Troubleshooting,40,Piplayers
28,24,Personnel and Human Resources,42,Piplayers
15,5,History and Archeology,49,Piplayers
6,6,Philosophy and Theology,40,Piplayers
45,19,Physics,67,Piplayers
19,7,Therapy and Counseling,54,Piplayers
44,53,Time Management,52,Piplayers
24,11,Sociology and Anthropology,57,Piplayers
24,25,Sales and Marketing,46,Piplayers
15,18,Economics and Accounting,49,Piplayers
32,9,Biology,70,Piplayers
44,31,Equipment Selection,61,Piplayers
17,15,Foreign Language,51,Piplayers
39,22,Production and Processing,67,Piplayers
79,15,Building and Construction,115,Piplayers
27,14,Medicine and Dentistry,65,Piplayers
52,67,Customer and Personal Service,68,Piplayers
3,16,Food Production,67,Piplayers
43,46,Education and Training,58,Piplayers
49,27,Chemistry,78,Piplayers
32,30,Psychology,59,Piplayers
16,32,Clerical,74,Piplayers
30,39,Law and Government,68,Piplayers
53,69,Operation Monitoring,76,Piplayers
29,49,Geography,81,Piplayers
44,47,Equipment Maintenance,65,Piplayers
47,47,Repairing,63,Piplayers
56,72,Operation and Control,80,Piplayers
77,55,Mechanical,87,Piplayers
62,68,Public Safety and Security,72,Piplayers
37,75,Transportation,105,Piplayers
