job_compared,job_selected,skills,difference,job_compared_name
16,3,Programming,13,dentists
46,32,Computers and Electronics,15,dentists
40,19,Engineering and Technology,23,dentists
47,25,Systems Analysis,25,dentists
69,0,Science,73,dentists
44,28,Systems Evaluation,21,dentists
38,15,Design,29,dentists
35,22,Operations Analysis,20,dentists
56,31,Fluency of Ideas,33,dentists
25,16,Technology Design,18,dentists
50,28,Mathematical Reasoning,32,dentists
34,39,Mathematics,16,dentists
53,31,Originality,34,dentists
78,50,Inductive Reasoning,41,dentists
78,47,Judgment and Decision Making,45,dentists
44,25,Mathematics.1,34,dentists
78,53,Deductive Reasoning,41,dentists
75,47,Oral Expression,45,dentists
50,31,Number Facility,37,dentists
75,47,Complex Problem Solving,47,dentists
63,28,Management of Personnel Resources,55,dentists
69,28,Persuasion,62,dentists
72,53,Information Ordering,41,dentists
78,50,Critical Thinking,51,dentists
69,50,Category Flexibility,43,dentists
75,47,Written Comprehension,53,dentists
44,25,Memorization,45,dentists
53,31,Negotiation,49,dentists
53,38,Learning Strategies,43,dentists
81,63,Problem Sensitivity,47,dentists
63,44,Flexibility of Closure,49,dentists
60,44,Written Expression,47,dentists
47,35,Speed of Closure,44,dentists
56,38,Instructing,51,dentists
73,62,English Language,45,dentists
19,38,Telecommunications,54,dentists
75,50,Oral Comprehension,61,dentists
72,47,Speech Recognition,62,dentists
75,50,Speaking,63,dentists
75,47,Active Listening,67,dentists
72,44,Active Learning,68,dentists
56,44,Writing,53,dentists
44,41,Quality Control Analysis,45,dentists
75,50,Speech Clarity,68,dentists
75,50,Reading Comprehension,69,dentists
69,47,Coordination,67,dentists
72,44,Service Orientation,74,dentists
72,44,Social Perceptiveness,75,dentists
6,16,Installation,58,dentists
72,53,Selective Attention,68,dentists
50,47,Perceptual Speed,53,dentists
24,29,Communications and Media,56,dentists
75,50,Monitoring,77,dentists
50,25,Management of Financial Resources,78,dentists
50,25,Management of Material Resources,79,dentists
56,39,Administration and Management,72,dentists
11,1,Fine Arts,66,dentists
78,72,Near Vision,63,dentists
25,50,Troubleshooting,83,dentists
55,24,Personnel and Human Resources,90,dentists
7,5,History and Archeology,62,dentists
9,6,Philosophy and Theology,64,dentists
41,19,Physics,84,dentists
33,7,Therapy and Counseling,89,dentists
72,53,Time Management,83,dentists
21,11,Sociology and Anthropology,75,dentists
35,25,Sales and Marketing,76,dentists
50,18,Economics and Accounting,99,dentists
63,9,Biology,122,dentists
56,50,Visualization,75,dentists
81,47,Finger Dexterity,104,dentists
47,47,Time Sharing,71,dentists
35,31,Equipment Selection,76,dentists
3,10,Dynamic Flexibility,80,dentists
18,15,Foreign Language,77,dentists
0,13,Explosive Strength,88,dentists
38,22,Production and Processing,92,dentists
19,15,Building and Construction,81,dentists
100,14,Medicine and Dentistry,164,dentists
81,67,Customer and Personal Service,93,dentists
5,16,Food Production,91,dentists
57,46,Education and Training,92,dentists
48,27,Chemistry,103,dentists
53,47,Visual Color Discrimination,89,dentists
61,30,Psychology,115,dentists
47,47,Auditory Attention,85,dentists
37,32,Clerical,91,dentists
37,39,Law and Government,89,dentists
47,50,Hearing Sensitivity,91,dentists
44,69,Operation Monitoring,114,dentists
78,53,Arm-Hand Steadiness,115,dentists
72,53,Manual Dexterity,110,dentists
47,41,Wrist-Finger Speed,98,dentists
31,47,Trunk Strength,109,dentists
8,49,Geography,135,dentists
25,44,Dynamic Strength,114,dentists
22,41,Gross Body Equilibrium,115,dentists
28,41,Stamina,110,dentists
13,47,Equipment Maintenance,132,dentists
47,75,Far Vision,127,dentists
47,44,Extent Flexibility,103,dentists
22,44,Gross Body Coordination,123,dentists
0,44,Sound Localization,146,dentists
3,44,Speed of Limb Movement,144,dentists
10,47,Repairing,141,dentists
0,47,Glare Sensitivity,152,dentists
47,72,Operation and Control,131,dentists
75,75,Control Precision,107,dentists
50,69,Depth Perception,127,dentists
0,50,Night Vision,159,dentists
0,50,Peripheral Vision,160,dentists
25,50,Static Strength,136,dentists
45,55,Mechanical,122,dentists
36,68,Public Safety and Security,145,dentists
11,75,Transportation,178,dentists
31,69,Rate Control,153,dentists
22,69,Spatial Orientation,163,dentists
66,72,Multilimb Coordination,123,dentists
44,72,Reaction Time,146,dentists
44,72,Response Orientation,147,dentists
