job_compared,job_selected,skills,difference
16,3,Programming,13
46,32,Computers and Electronics,14
40,19,Engineering and Technology,21
47,25,Systems Analysis,22
69,0,Science,69
44,28,Systems Evaluation,16
38,15,Design,23
35,22,Operations Analysis,13
56,31,Fluency of Ideas,25
25,16,Technology Design,9
50,28,Mathematical Reasoning,22
34,39,Mathematics,5
53,31,Originality,22
78,50,Inductive Reasoning,28
78,47,Judgment and Decision Making,31
44,25,Mathematics.1,19
78,53,Deductive Reasoning,25
75,47,Oral Expression,28
50,31,Number Facility,19
75,47,Complex Problem Solving,28
63,28,Management of Personnel Resources,35
69,28,Persuasion,41
72,53,Information Ordering,19
78,50,Critical Thinking,28
69,50,Category Flexibility,19
75,47,Written Comprehension,28
44,25,Memorization,19
53,31,Negotiation,22
53,38,Learning Strategies,15
81,63,Problem Sensitivity,18
63,44,Flexibility of Closure,19
60,44,Written Expression,16
47,35,Speed of Closure,12
56,38,Instructing,18
73,62,English Language,11
19,38,Telecommunications,19
75,50,Oral Comprehension,25
72,47,Speech Recognition,25
75,50,Speaking,25
75,47,Active Listening,28
72,44,Active Learning,28
56,44,Writing,12
44,41,Quality Control Analysis,3
75,50,Speech Clarity,25
75,50,Reading Comprehension,25
69,47,Coordination,22
72,44,Service Orientation,28
72,44,Social Perceptiveness,28
6,16,Installation,10
72,53,Selective Attention,19
50,47,Perceptual Speed,3
24,29,Communications and Media,5
75,50,Monitoring,25
50,25,Management of Financial Resources,25
50,25,Management of Material Resources,25
56,39,Administration and Management,17
11,1,Fine Arts,10
78,72,Near Vision,6
25,50,Troubleshooting,25
55,24,Personnel and Human Resources,31
7,5,History and Archeology,2
9,6,Philosophy and Theology,3
41,19,Physics,22
33,7,Therapy and Counseling,26
72,53,Time Management,19
21,11,Sociology and Anthropology,10
35,25,Sales and Marketing,10
50,18,Economics and Accounting,32
63,9,Biology,54
56,50,Visualization,6
81,47,Finger Dexterity,34
47,47,Time Sharing,0
35,31,Equipment Selection,4
3,10,Dynamic Flexibility,7
18,15,Foreign Language,3
0,13,Explosive Strength,13
38,22,Production and Processing,16
19,15,Building and Construction,4
100,14,Medicine and Dentistry,86
81,67,Customer and Personal Service,14
5,16,Food Production,11
57,46,Education and Training,11
48,27,Chemistry,21
53,47,Visual Color Discrimination,6
61,30,Psychology,31
47,47,Auditory Attention,0
37,32,Clerical,5
37,39,Law and Government,2
47,50,Hearing Sensitivity,3
44,69,Operation Monitoring,25
78,53,Arm-Hand Steadiness,25
72,53,Manual Dexterity,19
47,41,Wrist-Finger Speed,6
31,47,Trunk Strength,16
8,49,Geography,41
25,44,Dynamic Strength,19
22,41,Gross Body Equilibrium,19
28,41,Stamina,13
13,47,Equipment Maintenance,34
47,75,Far Vision,28
47,44,Extent Flexibility,3
22,44,Gross Body Coordination,22
0,44,Sound Localization,44
3,44,Speed of Limb Movement,41
10,47,Repairing,37
0,47,Glare Sensitivity,47
47,72,Operation and Control,25
75,75,Control Precision,0
50,69,Depth Perception,19
0,50,Night Vision,50
0,50,Peripheral Vision,50
25,50,Static Strength,25
45,55,Mechanical,10
36,68,Public Safety and Security,32
11,75,Transportation,64
31,69,Rate Control,38
22,69,Spatial Orientation,47
66,72,Multilimb Coordination,6
44,72,Reaction Time,28
44,72,Response Orientation,28
