job_compared,job_selected,skills,difference,job_compared_name
16,3,Programming,13,geographers
66,32,Computers and Electronics,35,geographers
24,19,Engineering and Technology,7,geographers
63,25,Systems Analysis,41,geographers
66,0,Science,70,geographers
50,28,Systems Evaluation,27,geographers
39,15,Design,30,geographers
41,22,Operations Analysis,26,geographers
60,31,Fluency of Ideas,37,geographers
22,16,Technology Design,15,geographers
50,28,Mathematical Reasoning,32,geographers
61,39,Mathematics,33,geographers
56,31,Originality,37,geographers
75,50,Inductive Reasoning,38,geographers
69,47,Judgment and Decision Making,36,geographers
47,25,Mathematics.1,37,geographers
75,53,Deductive Reasoning,38,geographers
75,47,Oral Expression,45,geographers
50,31,Number Facility,37,geographers
66,47,Complex Problem Solving,38,geographers
44,28,Management of Personnel Resources,36,geographers
41,28,Persuasion,34,geographers
69,53,Information Ordering,38,geographers
72,50,Critical Thinking,45,geographers
69,50,Category Flexibility,43,geographers
75,47,Written Comprehension,53,geographers
41,25,Memorization,42,geographers
44,31,Negotiation,40,geographers
56,38,Learning Strategies,46,geographers
69,63,Problem Sensitivity,35,geographers
56,44,Flexibility of Closure,42,geographers
75,44,Written Expression,62,geographers
31,35,Speed of Closure,36,geographers
56,38,Instructing,51,geographers
79,62,English Language,51,geographers
18,38,Telecommunications,55,geographers
75,50,Oral Comprehension,61,geographers
66,47,Speech Recognition,56,geographers
75,50,Speaking,63,geographers
72,47,Active Listening,64,geographers
69,44,Active Learning,65,geographers
75,44,Writing,72,geographers
10,41,Quality Control Analysis,73,geographers
72,50,Speech Clarity,65,geographers
75,50,Reading Comprehension,69,geographers
50,47,Coordination,48,geographers
50,44,Service Orientation,52,geographers
50,44,Social Perceptiveness,53,geographers
0,16,Installation,64,geographers
47,53,Selective Attention,55,geographers
44,47,Perceptual Speed,53,geographers
41,29,Communications and Media,63,geographers
50,50,Monitoring,52,geographers
25,25,Management of Financial Resources,53,geographers
25,25,Management of Material Resources,54,geographers
47,39,Administration and Management,63,geographers
9,1,Fine Arts,64,geographers
69,72,Near Vision,60,geographers
0,50,Troubleshooting,108,geographers
28,24,Personnel and Human Resources,63,geographers
61,5,History and Archeology,116,geographers
44,6,Philosophy and Theology,99,geographers
29,19,Physics,72,geographers
9,7,Therapy and Counseling,65,geographers
50,53,Time Management,67,geographers
67,11,Sociology and Anthropology,121,geographers
12,25,Sales and Marketing,79,geographers
18,18,Economics and Accounting,67,geographers
41,9,Biology,100,geographers
47,50,Visualization,72,geographers
16,47,Finger Dexterity,101,geographers
41,47,Time Sharing,77,geographers
0,31,Equipment Selection,103,geographers
0,10,Dynamic Flexibility,83,geographers
35,15,Foreign Language,94,geographers
0,13,Explosive Strength,88,geographers
12,22,Production and Processing,86,geographers
9,15,Building and Construction,83,geographers
6,14,Medicine and Dentistry,86,geographers
32,67,Customer and Personal Service,114,geographers
7,16,Food Production,89,geographers
76,46,Education and Training,111,geographers
23,27,Chemistry,86,geographers
35,47,Visual Color Discrimination,95,geographers
35,30,Psychology,89,geographers
25,47,Auditory Attention,107,geographers
44,32,Clerical,98,geographers
35,39,Law and Government,91,geographers
25,50,Hearing Sensitivity,113,geographers
22,69,Operation Monitoring,136,geographers
0,53,Arm-Hand Steadiness,143,geographers
0,53,Manual Dexterity,144,geographers
3,41,Wrist-Finger Speed,130,geographers
13,47,Trunk Strength,127,geographers
100,49,Geography,145,geographers
0,44,Dynamic Strength,139,geographers
0,41,Gross Body Equilibrium,137,geographers
0,41,Stamina,138,geographers
0,47,Equipment Maintenance,145,geographers
50,75,Far Vision,124,geographers
0,44,Extent Flexibility,144,geographers
0,44,Gross Body Coordination,145,geographers
0,44,Sound Localization,146,geographers
0,44,Speed of Limb Movement,147,geographers
0,47,Repairing,151,geographers
0,47,Glare Sensitivity,152,geographers
0,72,Operation and Control,178,geographers
0,75,Control Precision,182,geographers
22,69,Depth Perception,155,geographers
0,50,Night Vision,159,geographers
0,50,Peripheral Vision,160,geographers
0,50,Static Strength,161,geographers
11,55,Mechanical,156,geographers
20,68,Public Safety and Security,161,geographers
34,75,Transportation,155,geographers
0,69,Rate Control,184,geographers
0,69,Spatial Orientation,185,geographers
0,72,Multilimb Coordination,189,geographers
0,72,Reaction Time,190,geographers
0,72,Response Orientation,191,geographers
